Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background,label
0,0,68,76,0,0,0,0,80,0,0,48,64,16,76,36,0,0,0,walking
0,0,68,76,0,0,0,0,80,0,0,48,64,16,76,36,0,0,0,walking
0,0,68,76,0,0,0,0,80,0,0,48,64,16,76,36,0,0,0,walking
0,0,68,76,0,0,0,0,80,0,0,48,64,16,76,72,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,20,68,16,80,20,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,48,68,16,76,32,0,0,0,walking
0,0,68,76,0,0,0,0,0,0,0,52,68,16,76,40,0,0,0,walking
0,0,68,76,0,0,0,0,0,0,0,0,64,20,76,72,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,20,68,16,76,28,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,20,68,16,76,36,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,52,64,16,76,36,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,48,68,20,76,32,0,0,0,walking
0,0,72,76,0,0,0,0,0,0,0,52,68,20,76,32,0,0,0,walking
0,0,72,76,0,0,0,0,0,0,0,48,68,20,80,24,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,52,68,20,80,12,0,0,0,walking
0,0,72,76,0,0,0,0,0,0,0,52,68,20,80,20,0,0,0,walking
0,0,0,0,0,0,0,0,80,0,84,68,68,16,80,20,0,0,0,walking
0,0,0,0,0,0,0,0,80,0,0,16,68,16,80,16,36,92,0,walking
0,0,0,0,0,0,0,0,0,0,0,48,68,16,80,12,36,92,0,walking
0,0,76,84,0,0,0,0,80,0,0,20,68,16,80,24,0,0,0,walking
0,0,0,0,0,0,0,0,84,4,0,52,68,24,80,20,64,88,0,walking
0,0,0,0,0,0,0,0,80,0,0,52,76,24,76,28,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,20,84,24,76,28,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,40,80,24,80,16,0,0,0,walking
12,92,0,0,0,0,0,0,80,0,0,48,80,24,80,20,60,88,0,walking
12,92,0,0,0,0,0,0,80,0,0,16,88,72,80,20,60,88,60,walking
12,88,0,0,0,0,0,0,0,0,0,28,88,68,80,16,60,88,52,walking
0,0,0,0,0,0,0,0,0,0,0,0,80,16,80,20,0,0,52,walking
0,0,0,0,0,0,0,0,0,0,0,0,84,24,80,20,0,0,0,walking
0,0,0,0,0,0,0,0,0,0,0,0,84,24,80,24,0,0,0,walking
0,0,0,0,0,0,0,0,80,0,0,0,76,20,80,16,52,92,0,walking
0,0,0,0,0,0,0,0,0,0,0,20,80,16,80,16,52,92,0,walking
0,0,0,0,0,0,0,0,80,0,0,0,84,20,80,16,52,92,0,walking
12,84,0,0,0,0,0,0,80,0,80,88,88,64,80,16,56,92,0,walking
12,80,0,0,0,0,0,0,80,0,80,88,88,56,80,16,60,92,0,walking
12,80,0,0,0,0,0,0,80,0,0,0,80,16,80,76,56,84,56,walking
8,80,20,80,24,84,36,80,80,0,24,80,36,80,44,80,48,80,64,walking
8,76,20,80,24,80,36,80,44,76,24,80,44,80,44,76,48,80,52,walking
8,76,20,80,24,80,36,80,44,76,24,80,36,80,44,76,48,76,64,walking
8,76,20,76,24,76,36,76,44,76,20,76,32,76,40,72,44,76,64,walking
8,76,20,76,24,76,36,76,40,72,24,76,36,76,44,72,44,76,60,walking
8,72,20,76,24,76,36,72,40,68,24,76,36,72,44,68,44,72,60,walking
